%time,field.stamp,field.reference_magenc,field.measure_magenc
1718603625268259257,1718603625269641056,10064,64137
1718603625369472562,1718603625370641056,10067,64130
1718603625470501341,1718603625471641056,10064,64124
1718603625571090253,1718603625572641056,10064,64139
1718603625772772537,1718603625774641056,10063,64132
1718603625874200693,1718603625875641056,10064,64131
1718603625975410725,1718603625976641056,10063,64128
1718603626075994743,1718603626077641056,10066,64131
1718603626176894564,1718603626178641056,10065,64135
1718603626278094710,1718603626279641056,10067,64126
1718603626378792159,1718603626380641056,10067,64140
1718603626480145777,1718603626481445648,10065,64119
1718603626581467719,1718603626582445648,10066,64136
1718603626682227499,1718603626683445648,10064,64132
1718603626887512367,1718603626885445648,10065,64137
1718603626983753382,1718603626986445648,10064,64127
1718603627086121388,1718603627087445648,10066,64118
1718603627187236147,1718603627188445648,10064,64139
1718603627288177164,1718603627289445648,10066,64123
1718603627388921290,1718603627390445648,10064,64129
1718603627489671951,1718603627491445648,10065,64137
1718603627591705969,1718603627592445648,10068,64132
1718603627691399871,1718603627693445648,10063,64125
1718603627793253727,1718603627794445648,10068,64128
1718603627894248987,1718603627895445648,10066,64136
1718603628094864111,1718603628097445648,10066,64124
1718603628196946058,1718603628198445648,10065,64137
1718603628298251294,1718603628299445648,10067,64123
1718603628399076169,1718603628400445648,10063,64121
1718603628499888037,1718603628501445648,10066,64130
1718603628601258886,1718603628602445648,10064,64138
1718603628702077461,1718603628703445648,10066,64120
1718603628803384705,1718603628804445648,10065,64126
1718603628902804976,1718603628905445648,10064,64136
1718603629005472404,1718603629006850101,10067,64134
1718603629212628039,1718603629208850101,10064,64128
1718603629308241972,1718603629309850101,10065,64127
1718603629409255048,1718603629410850101,10066,64135
1718603629510144466,1718603629511850101,10062,64122
1718603629611127880,1718603629612850101,10065,64131
1718603629712328331,1718603629713850101,10066,64123
1718603629813208594,1718603629814850101,10067,64128
1718603629914328171,1718603629915850101,10066,64135
1718603630015434500,1718603630016850101,10066,64139
1718603630116208973,1718603630117850101,10066,64143
1718603630217286844,1718603630218850101,10065,64136
1718603630419333798,1718603630420850101,10066,64128
1718603630519986457,1718603630521850101,10066,64129
1718603630621436088,1718603630622850101,10066,64126
1718603630722245404,1718603630723850101,10065,64126
1718603630823058350,1718603630824850101,10064,64128
1718603630923677171,1718603630925850101,10065,64131
1718603631025370801,1718603631026850101,10065,64114
1718603631126267570,1718603631127850101,10066,64127
1718603631227105743,1718603631228850101,10064,64134
1718603631327939681,1718603631329850101,10064,64132
1718603631530308396,1718603631531240322,10064,64127
1718603631631553547,1718603631632240322,10064,64123
1718603631732062559,1718603631733240322,10064,64125
1718603631833359825,1718603631834240322,10064,64128
1718603631933875333,1718603631935240322,10065,64136
1718603632035233905,1718603632036240322,10064,64132
1718603632135373762,1718603632137240322,10065,64139
1718603632237272770,1718603632238240322,10064,64126
1718603632338081466,1718603632339240322,10063,64121
1718603632439128115,1718603632440240322,10066,64133
1718603632540196679,1718603632541240322,10066,64122
1718603632741947498,1718603632743240322,10066,64124
1718603632842927899,1718603632844240322,10064,64130
1718603632942708487,1718603632945240322,10065,64119
1718603633045179322,1718603633046240322,10065,64126
1718603633145312173,1718603633147240322,10064,64124
1718603633246529331,1718603633248240322,9863,63709
1718603633347811602,1718603633349240322,9369,62746
1718603633449228983,1718603633450240322,8979,61920
